airline_name,route_count,avg_distance_km,airline_id,region
2B,42,1100.0052826007022,410.0,Other
2G,21,1062.5767769576148,1654.0,Other
2I,18,429.68865110420126,8359.0,Other
2J,22,778.8552912141364,470.0,Other
2K,12,662.1228604763363,1338.0,Other
2L,14,2059.063226685712,2750.0,Other
2N,41,339.8698204766995,3652.0,Other
2O,10,60.14058903505374,146.0,North America
2P,34,999.7895983207284,897.0,Other
2Z,46,511.7231247715307,1729.0,South America
3E,10,257.71327289624867,10739.0,North America
3F,12,,16262.0,Other
3G,30,1522.8288694228058,595.0,Other
3H,64,345.2699829877043,,North America
3J,5,1254.7363893639754,5521.0,Other
3K,36,2060.159520363272,3021.0,Asia
3L,26,584.0701137029137,2916.0,Europe
3M,67,344.33870272075285,20710.0,North America
3O,44,1724.925284637697,9818.0,Other
3P,6,154.52496032385224,5002.0,Other
3R,20,2239.281077164128,3545.0,Other
3S,24,450.79488903909856,11741.0,Other
3U,392,1316.3340966506516,4608.0,Asia
4B,2,380.17011481562815,20565.0,North America
4D,2,392.7235606452017,442.0,Africa
4E,5,49.10949003904789,,North America
4G,20,1557.6182736115327,2524.0,Other
4H,32,1397.4141316463927,8463.0,Other
4K,2,385.01457856749164,29.0,North America
4M,10,6312.563057874166,3201.0,North America
4N,13,1425.8974728718324,341.0,North America
4O,114,1114.1360472489619,17885.0,North America
4Q,14,1034.9585680683638,10758.0,Other
4T,12,2365.6004481645214,1401.0,Other
4U,470,1128.9117079687537,2548.0,Europe
4W,27,192.18631448705761,,North America
4Y,36,78.59832528487537,1173.0,North America
5C,29,144.73523796808632,1581.0,Other
5G,2,199.73006937322776,4496.0,Other
5H,18,363.4949565142585,8576.0,Other
5J,184,1131.634468308175,1683.0,Other
5M,2,85.15595771710606,4436.0,Other
5N,22,832.0453089213137,503.0,Other
5P,4,820.2324747256059,10650.0,South America
5Q,18,946.4407319927312,18232.0,Other
5T,65,599.6244067497043,1623.0,North America
5U,9,297.81808621650003,,Other
5Z,7,599.4207098642097,18946.0,Africa
6E,227,1019.1383060559273,2850.0,Asia
6H,12,1636.5164346989052,2954.0,Other
6I,2,195.95333136961156,17095.0,Other
6L,12,353.654173870344,,North America
6R,30,1810.4907256702197,1340.0,Other
6T,22,312.80114293521285,5813.0,Other
6W,10,1231.3457143024912,4805.0,Other
6Y,2,4510.906370980829,11814.0,Europe
7C,33,1622.9762428471768,2994.0,Other
7E,2,178.62899058706287,563.0,Europe
7F,74,595.8893457593258,2354.0,North America
7G,6,712.8263135833926,4388.0,Asia
7H,224,156.70266003874156,16726.0,North America
7I,45,810.6168503566337,18944.0,Other
7J,34,2232.60269406404,9531.0,Other
7M,8,297.23175852192946,16615.0,North America
7P,27,257.37886037534537,1500.0,Other
7R,72,902.0990339256814,1469.0,Other
7S,8,74.2832712737558,,North America
8B,12,2742.1878460349394,17408.0,Other
8D,8,136.02582049691173,1109.0,North America
8E,74,125.45480149929038,1472.0,North America
8I,6,853.536284721511,3534.0,Other
8L,130,1086.8218694612217,2942.0,Asia
8M,12,1833.206684436339,3432.0,Other
8P,32,300.81935245495464,3856.0,North America
8Q,36,997.7407511450687,3788.0,Other
8R,35,451.15508234930985,5188.0,South America
8T,10,229.19914863570256,68.0,North America
8U,44,1537.8233513169941,32.0,Other
8V,39,211.14013909788227,55.0,North America
9C,155,1442.7592682562072,15999.0,Asia
9D,1,2773.6120217694574,,Other
9E,46,878.4565019537848,3976.0,North America
9K,86,195.72849961243335,1629.0,North America
9M,46,374.74295182526004,,North America
9N,50,292.9619207606287,19810.0,Other
9Q,4,67.81590124621559,3835.0,Other
9R,76,370.5078578411453,4691.0,Other
9U,38,1536.3185383589584,1073.0,Other
9V,31,578.2448496425684,20004.0,Other
9W,292,1620.5496922553846,3000.0,Asia
A2,10,371.6453774380774,19804.0,Other
A3,222,1269.6843506219682,96.0,Other
A4,23,399.9662247082657,4550.0,Other
A5,150,600.5925602371383,1203.0,Europe
A8,4,261.3396055308924,1392.0,Other
A9,18,1884.5131202628186,2538.0,Other
AA,2354,2279.358831818295,24.0,North America
AB,798,1896.8555691278564,214.0,Europe
ABJ,3,393.2055200305303,43.0,South America
AC,705,2397.8115242316753,330.0,North America
AD,397,694.1024836604745,13983.0,South America
AE,56,807.7850323813128,3392.0,Other
AF,1071,2330.4355296517847,137.0,Europe
AH,234,1234.2565736795582,794.0,Other
AI,393,2241.593736800403,218.0,Asia
AK,180,1329.0225652554002,576.0,Other
AM,431,1706.9766937431873,321.0,North America
AP,88,1211.2291911362342,240.0,Europe
AR,154,1836.5437077919628,412.0,South America
AS,530,1700.0641948601565,439.0,North America
AT,240,2054.7149849146736,4248.0,Other
AV,286,1866.9309065425145,515.0,Other
AW,6,348.09423045378344,16960.0,Other
AY,328,3529.531339945049,2350.0,Other
AZ,877,2133.518042179355,596.0,Europe
B2,82,1544.7898821518659,1478.0,Other
B5,26,515.15422206277,2395.0,Other
B6,399,2519.758294804897,3029.0,North America
B7,50,988.4360672727526,9082.0,Other
B9,46,757.7499297610531,543.0,Other
BA,549,3342.1107928481138,1355.0,Europe
BB,34,291.9890435221752,4335.0,Other
BC,58,829.09297696651,4740.0,Asia
BE,268,527.2060797346811,2421.0,Europe
BF,4,838.7291816673858,1230.0,Oceania
BG,46,3154.864824831422,1359.0,Other
BH,8,558.0448015751745,2692.0,North America
BI,30,2716.4022372167915,4255.0,Other
BJ,36,1330.9781129855955,3740.0,Other
BK,106,968.9579482661412,4026.0,Asia
BL,18,662.3857066886162,3850.0,Other
BM,34,781.9023031034848,312.0,Europe
BP,24,794.7545056634185,683.0,Other
BR,118,3304.8503465015947,2091.0,Other
BT,112,1552.672871247196,333.0,Other
BU,41,670.6361474206052,16508.0,Other
BV,49,2756.2997493525954,1463.0,Europe
BW,64,2039.3580090429648,1663.0,Other
BX,28,1605.6154701817468,5982.0,Other
C8,8,517.8578700629976,1750.0,Other
CA,1260,1907.2060224190786,751.0,Asia
CC,13,291.77798065762346,221.0,Other
CE,10,383.4721819540823,3613.0,Europe
CG,82,402.486306347079,1308.0,Other
CI,172,2852.9728943606183,1756.0,Other
CM,184,1960.411645897257,1889.0,Other
CN,10,1181.9889715350116,9829.0,Asia
CU,59,2906.7584176490977,1936.0,Other
CX,213,3724.7738220727388,1680.0,Other
CY,31,1772.4015094838503,1942.0,Other
CZ,1454,1463.6919439205394,1767.0,Asia
D2,18,867.9357954514722,20270.0,Other
D3,6,1224.5805529099728,1966.0,Other
D6,2,1455.4156469875556,2881.0,Africa
D7,36,4702.764372754615,2417.0,Other
DC,20,356.02990698157714,2585.0,Other
DD,46,522.9995907131539,3674.0,Other
DE,334,3333.600016746415,1868.0,Europe
DG,22,1027.4178742943125,4475.0,Other
DH,13,946.7963448701472,10128.0,Other
DL,1981,2351.728744744383,2009.0,North America
DN,32,1083.0690068866638,17094.0,Other
DT,71,2224.5894520189763,5133.0,Other
DV,80,953.8287780247401,4840.0,Other
DX,16,230.97269949125325,1954.0,Other
DY,576,2044.1274738223703,3737.0,Other
DZ,4,1058.508611556278,11963.0,Asia
E2,12,822.9899840235518,20047.0,Other
E5,10,1517.1236790926487,16963.0,Africa
E7,4,475.39137469724085,2217.0,Other
E8,6,1675.471960312164,20160.0,Other
E9,4,7276.414624043671,11806.0,Europe
EB,5,5917.951506596312,,Europe
EF,8,870.3807514752427,2324.0,Other
EG,18,2249.8133859926525,2989.0,Other
EI,226,1653.8288889758348,837.0,Other
EK,289,4784.219490692382,2183.0,Other
EL,6,1663.3246697717332,336.0,Other
EN,12,518.723807891818,807.0,Europe
EO,12,1207.930152147748,2293.0,Africa
EP,183,747.2101260739822,2923.0,Other
EQ,48,783.6550859134866,4863.0,Other
ET,337,2042.9064517335573,2220.0,Other
EU,80,1014.9712681643987,2193.0,Asia
EW,1,380.455373494022,2260.0,Europe
EY,228,3667.5872042490037,2222.0,Other
F2,14,252.4280363423034,2409.0,Other
F5,5,324.7463097911615,21012.0,Other
F7,38,473.57423977735607,2420.0,Europe
F9,222,1517.705044970382,2468.0,North America
FB,56,1327.3613510599473,1548.0,Other
FD,92,1263.236918281935,4947.0,Other
FE,18,1521.2205981325437,4044.0,Asia
FG,22,1367.8062373225475,125.0,Other
FI,53,2917.4955153952437,2835.0,Other
FJ,66,1854.3442765432185,879.0,Other
FL,726,1401.0859624374123,1316.0,North America
FM,193,1175.232590312456,4609.0,Asia
FO,34,701.3986583932187,476.0,Other
FR,2484,1490.4761921085221,4296.0,Europe
FS,17,1360.3571728226036,4513.0,Other
FV,5,1468.6708167163495,641.0,Other
FW,32,587.6594676718083,2826.0,Asia
FY,40,368.9275215929846,2353.0,Other
FZ,148,2123.721235239218,14485.0,Other
G3,332,1199.2782250099776,1790.0,South America
G4,378,1534.9481783778501,35.0,North America
G5,94,574.0427186771991,15837.0,Asia
G8,77,925.8191430748666,2575.0,Asia
G9,130,2145.367454569865,329.0,Other
GA,248,1963.3457337658456,2520.0,Other
GE,92,1076.9819331264534,5038.0,Other
GF,77,2218.760149211763,2638.0,Other
GK,28,853.0824572558939,14118.0,Asia
GL,126,374.5869933046144,921.0,Other
GQ,36,269.9266253590985,1492.0,Other
GR,20,231.34684093267134,508.0,Other
GS,358,807.3774701059791,690.0,Asia
GV,34,152.56013915968498,386.0,North America
GY,2,2949.9060997424513,9620.0,Other
GZ,13,384.06886178603486,4234.0,Other
H2,49,799.5669071357382,4737.0,South America
H7,2,373.4299247771394,2094.0,Other
HA,74,3926.114552365993,2688.0,North America
HD,26,825.8303681176246,2765.0,Asia
HF,25,886.7273571952396,2682.0,Other
HG,111,1646.4047712942772,3661.0,Other
HI,2,,16625.0,Other
HK,6,2680.67575397264,9784.0,Europe
HM,10,2958.53936539661,319.0,Other
HN,6,468.2361675952804,16707.0,Other
HO,145,1229.8660139843746,3081.0,Asia
HQ,88,1825.009937127529,2684.0,Other
HR,2,189.59261832908794,1769.0,Europe
HS,18,301.4458748094979,,Other
HU,555,1552.2888925741506,2660.0,Asia
HV,233,1722.65885544952,5039.0,Other
HW,10,232.29975018539076,2748.0,North America
HX,49,1285.1033347102375,2773.0,Other
HY,151,2584.1115481259208,5281.0,Other
HZ,17,755.2409884962358,4808.0,Other
I4,2,89.66701737776266,19944.0,North America
I6,20,761.5126625893206,10955.0,Other
I8,8,1136.9521691308346,18828.0,Other
I9,4,3919.6511783299156,116.0,Europe
IB,831,2320.2133564115866,2822.0,Europe
ID,16,1586.2014698094704,2896.0,Other
IE,60,417.61876628128994,4797.0,Other
IG,173,1359.242109481124,3463.0,Europe
IL,25,370.8172658188261,10121.0,Other
IOS,72,1135.5271601654624,2951.0,Other
IR,186,1338.0312409908495,2922.0,Other
IX,76,2109.261986661376,569.0,Asia
IY,96,1603.1229400767681,5496.0,Other
IZ,20,1253.125278660065,231.0,Other
J2,54,2169.47036750913,197.0,Other
J3,18,433.75132622107833,3734.0,North America
J4,8,871.0678425130025,10737.0,Other
J5,15,87.35671486378786,10912.0,North America
J8,4,416.81903673630507,1508.0,Other
J9,30,1232.3826795952418,2993.0,Other
JA,10,672.6830100609865,132.0,Other
JB,2,98.81112726705844,2731.0,North America
JD,214,1193.9552351547536,6557.0,Asia
JE,18,1143.013890022351,3393.0,Africa
JH,24,616.6888471308614,13200.0,Asia
JJ,333,2224.216318190229,4867.0,South America
JL,388,2624.0517486712242,2987.0,Asia
JN,8,742.24991260477,2264.0,Europe
JP,40,829.2021915580533,83.0,Other
JQ,163,2628.8317486104547,3052.0,Oceania
JS,8,1634.2532192802976,998.0,Other
JT,251,823.7010109719766,3290.0,Other
JU,77,966.5738242759458,19582.0,Other
JV,39,267.8568975391633,1434.0,North America
JW,8,1459.9763904841768,397.0,Asia
JY,28,398.1702213588554,14849.0,Other
K2,36,934.3634539420624,2245.0,Other
K3,17,78.36542522279666,20963.0,Other
K5,39,209.67709188241088,10765.0,North America
K6,22,995.8096127501085,13899.0,Other
K8,8,164.64457977356722,11808.0,Other
KA,96,1490.947841501339,2056.0,Other
KB,20,1062.6525761640428,2058.0,Other
KC,118,2163.36977228062,1006.0,Other
KE,292,3552.996909256672,3163.0,Other
KK,32,1099.9747500721874,995.0,Other
KL,830,2449.828996752297,3090.0,North America
KM,84,1660.3621000288424,242.0,Other
KN,98,1042.7911142972548,10741.0,Asia
KO,2,313.1741721805109,109.0,North America
KQ,142,2234.569833475265,3126.0,Other
KR,22,2202.1592274839095,1844.0,Other
KS,28,592.2416534727206,3935.0,North America
KU,79,2523.7887793465197,3179.0,Other
KX,23,809.4454225744886,1682.0,Other
KY,52,1129.9876919783308,13704.0,Asia
L6,30,1061.9407677014465,16942.0,Other
LA,285,2117.4179363194785,3200.0,Other
LC,16,2276.464219753383,5354.0,Other
LF,4,365.1415152627274,2419.0,Other
LG,110,1377.1809193558836,3329.0,Other
LH,923,2817.2433214571315,3320.0,Europe
LI,62,289.7180336223496,3251.0,Other
LJ,26,2108.0407954712873,9810.0,Other
LM,20,29.40724454946841,3287.0,Europe
LN,74,1220.105211175804,3258.0,Other
LO,120,1372.1204542326973,3210.0,Other
LR,24,163.16474503330753,3197.0,Other
LS,302,2158.116327622763,3026.0,Europe
LT,12,1094.0895731246148,19610.0,Other
LV,4,5862.657291730242,1008.0,Asia
LW,10,183.74628477059045,3865.0,North America
LX,290,2553.3017514205408,4559.0,Other
LY,73,3925.3037162001574,2150.0,Other
M3,6,295.47248626440575,42.0,Other
M4,19,469.4795363030372,15893.0,Africa
M5,18,101.19606235597895,3123.0,Other
M6,13,342.07550051614015,246.0,South America
M9,6,649.0633248809139,3547.0,Other
MD,75,1234.1282765446406,1066.0,Other
ME,65,1879.7084370888792,3490.0,Other
MF,386,1129.535026007977,5484.0,Asia
MH,336,2357.944633771056,3378.0,Other
MI,93,1968.6018420480548,4750.0,Asia
MJ,52,2305.2120635634233,3342.0,Other
MK,43,4293.031847179389,1057.0,Other
MM,32,957.401871833022,17675.0,Asia
MN,14,944.3966749695402,1829.0,Africa
MO,52,592.6656630557286,502.0,North America
MR,21,1095.0929283562632,13335.0,Other
MS,205,2367.0832793688132,2143.0,Africa
MU,1263,1431.9777264007726,1758.0,Asia
MW,19,104.74583231819713,3437.0,North America
MY,32,,3498.0,Other
N3,4,457.65524544977825,3783.0,Other
NF,92,318.3548330330057,524.0,Other
NH,547,2404.917020248567,324.0,Asia
NHG,34,218.17585744757898,3574.0,South America
NK,242,1622.4542737558531,4687.0,North America
NL,64,1927.4130504962532,4311.0,Other
NP,16,1219.2518482365028,17083.0,Africa
NS,62,1009.170221708174,16136.0,Asia
NT,46,606.4163027242697,1539.0,Europe
NU,22,1087.7345257767963,2990.0,Asia
NX,56,1472.1533299009504,316.0,Other
NY,10,571.8935390230428,896.0,Other
NZ,233,2382.740297752923,345.0,Oceania
